N,Palavras Unicas,T(N)
0,0,"3e-06"
66,42,"0,000262"
18823,3586,"0,056935"
61334,6051,"0,186244"
67907,6966,"0,204766"
152179,12427,"0,488924"
168721,13348,"0,555717"
220458,16279,"0,748745"
293925,19050,"0,994417"
405953,23082,"1,38676"
430271,23891,"1,47233"
447512,24801,"1,56202"
637440,31514,"2,23391"
697037,35274,"2,4549"
766004,37492,"2,71604"
835735,38844,"3,00906"
915692,41172,"3,31155"
1011003,42430,"3,73106"
1147337,45872,"4,3699"
1206799,46824,"4,83225"
1316691,50915,"5,13485"
1524054,56173,"5,93967"
1616589,58213,"6,89818"
1731169,59474,"7,74973"
1748605,59533,"8,51793"
2160290,62680,"10,2478"
2508298,72822,"10,1146"
2570768,73206,"10,8019"
2662506,74558,"10,9068"
2854673,78311,"11,3402"
3015346,80395,"11,321"
3147834,81184,"12,1351"
3249399,82691,"13,9681"
3302983,83454,"14,622"
3460327,84784,"14,206"
3519208,85259,"14,2006"
3564154,85700,"13,64"
3662625,86822,"14,4442"
3707740,87877,"14,4237"
3732702,88613,"14,9107"
3813255,89524,"15,0907"
4028291,91517,"15,7959"
4086461,91820,"15,7959"
4103898,92134,"15,7251"
4194089,92511,"16,5494"
4268086,93561,"16,9067"
4387107,94770,"17,1229"
4405357,94989,"17,0481"
4522261,96813,"17,4993"
4538989,96856,"17,648"
4629933,97510,"18,921"
