N,Palavras Unicas,T(N)
0,0,"3e-06"
66,42,"0,000265"
18823,3586,"0,055657"
61334,6051,"0,170654"
67907,6966,"0,197911"
152179,12427,"0,470782"
168721,13348,"0,547556"
220458,16279,"0,715527"
293925,19050,"0,951722"
405953,23082,"1,33798"
430271,23891,"1,42573"
447512,24801,"1,50909"
637440,31514,"2,13381"
697037,35274,"2,3842"
766004,37492,"2,65693"
835735,38844,"2,94977"
915692,41172,"3,28426"
1011003,42430,"3,57286"
1147337,45872,"4,12317"
1206799,46824,"4,32238"
1316691,50915,"4,77322"
1524054,56173,"5,55572"
1616589,58213,"6,02148"
1731169,59474,"6,54214"
1748605,59533,"6,99681"
2160290,62680,"8,14593"
2508298,72822,"9,93075"
2570768,73206,"10,2418"
2662506,74558,"9,90541"
2854673,78311,"10,6138"
3015346,80395,"11,2491"
3147834,81184,"11,7888"
3249399,82691,"11,9927"
3302983,83454,"12,2429"
3460327,84784,"12,1923"
3519208,85259,"12,2724"
3564154,85700,"12,4387"
3662625,86822,"13,2262"
3707740,87877,"13,9063"
3732702,88613,"14,0714"
3813255,89524,"13,3766"
4028291,91517,"13,9404"
4086461,91820,"14,254"
4103898,92134,"14,0688"
4194089,92511,"14,6085"
4268086,93561,"14,7603"
4387107,94770,"15,065"
4405357,94989,"15,0519"
4522261,96813,"15,6595"
4538989,96856,"15,8129"
4629933,97510,"16,4083"
