N,Palavras Unicas,T(N)
0,0,"2e-06"
59462,5379,"0,130256"
169354,14670,"0,175226"
249907,18746,"0,261171"
368928,21699,"0,385595"
483508,24149,"0,499706"
543105,29287,"0,578169"
655133,32335,"0,698369"
747668,35718,"0,807828"
816635,37847,"0,903007"
890102,39298,"0,977438"
915064,40301,"1,0256"
1075737,43086,"1,19374"
1212071,45964,"1,35221"
1286068,47361,"1,47006"
1302610,47802,"1,50094"
1393554,48862,"1,57898"
1483745,49638,"1,66685"
1501995,50002,"1,78337"
1581952,52251,"1,92811"
1774119,56975,"1,99942"
1964047,61177,"2,22535"
2022217,61661,"2,35638"
2179561,63263,"2,57192"
2386924,67950,"2,83015"
2411242,68357,"2,88187"
2428483,68849,"2,88262"
2473429,69326,"2,98422"
2543160,70093,"2,93511"
2644725,71671,"3,03672"
2662161,71718,"3,17907"
2662227,71718,"3,12567"
2757538,72487,"3,35641"
2809275,73882,"3,55629"
3024311,76166,"3,61484"
3122782,77285,"3,69269"
3165293,77750,"3,77623"
3249565,79097,"3,88934"
3256138,79177,"3,81664"
3318608,79522,"3,85215"
3335336,79574,"3,82828"
3380451,80635,"3,91072"
3728459,89887,"4,31164"
3845363,91736,"4,35298"
3862800,92059,"4,56722"
3995288,92783,"4,61297"
4014045,92966,"4,69477"
4105783,94120,"4,82041"
4164664,94579,"4,59575"
4218248,95285,"4,57997"
4629933,97510,"4,96077"
