N,Palavras Unicas,T(N)
0,0,"0,000001"
59462,5379,"0,058323"
169354,14670,"0,171375"
249907,18746,"0,262892"
368928,21699,"0,397234"
483508,24149,"0,506405"
543105,29287,"0,596559"
655133,32335,"0,705675"
747668,35718,"0,81769"
816635,37847,"0,917385"
890102,39298,"0,99566"
915064,40301,"1,04564"
1075737,43086,"1,20809"
1212071,45964,"1,36047"
1286068,47361,"1,45598"
1302610,47802,"1,49618"
1393554,48862,"1,60677"
1483745,49638,"1,67843"
1501995,50002,"1,74243"
1581952,52251,"1,87758"
1774119,56975,"2,14103"
1964047,61177,"2,35859"
2022217,61661,"2,43562"
2179561,63263,"2,53625"
2386924,67950,"2,82118"
2411242,68357,"2,96816"
2428483,68849,"2,99711"
2473429,69326,"3,08401"
2543160,70093,"3,00587"
2644725,71671,"3,13519"
2662161,71718,"3,25182"
2757472,72487,"3,20096"
2809209,73882,"3,27517"
3024245,76166,"3,68532"
3122716,77285,"3,66044"
3165227,77750,"3,67488"
3249499,79097,"3,85238"
3256072,79177,"3,80484"
3318542,79522,"3,86926"
3335270,79574,"3,95774"
3380385,80635,"3,95054"
3728393,89887,"4,37176"
3845297,91736,"4,54591"
3862734,92059,"4,57253"
3995222,92783,"4,79829"
4013979,92966,"4,80127"
4105717,94120,"4,80474"
4164598,94579,"4,93693"
4218182,95285,"5,03611"
4629867,97510,"5,41352"
